3.62698575604e+16 1.01860168789e+13
3.86878480644e+16 8.41435275112e+15
4.11058385684e+16 1.66491212792e+18
4.35238290724e+16 1.12343971092e+20
4.59418195765e+16 3.40479995539e+21
4.83598100805e+16 5.73625166081e+22
5.07778005845e+16 6.02244152131e+23
5.31957910885e+16 4.39678974967e+24
5.56137815926e+16 2.48239368654e+25
5.80317720966e+16 1.11246517016e+26
6.04497626006e+16 4.13476698151e+26
6.28677531046e+16 1.31589195506e+27
6.52857436086e+16 3.47087533886e+27
6.77037341127e+16 7.67747985268e+27
7.01217246167e+16 1.48344769931e+28
7.25397151207e+16 2.84649069491e+28
7.49577056247e+16 5.1223483084e+28
7.73756961288e+16 8.54939040606e+28
7.97936866328e+16 1.34975956686e+29
8.22116771368e+16 2.01920119153e+29
8.46296676408e+16 2.88192095931e+29
8.70476581449e+16 3.95914033195e+29
8.94656486489e+16 5.25852935935e+29
9.18836391529e+16 6.77683802155e+29
9.43016296569e+16 8.29196563055e+29
9.6719620161e+16 9.82836742087e+29
9.9137610665e+16 1.14235011528e+30
1.01555601169e+17 1.31499708487e+30
1.03973591673e+17 1.51013268378e+30
1.06391582177e+17 1.71310132492e+30
1.08809572681e+17 1.92256222156e+30
1.11227563185e+17 2.13013032424e+30
1.13645553689e+17 2.31244916129e+30
1.16063544193e+17 2.49370662266e+30
1.18481534697e+17 2.67241435109e+30
1.20899525201e+17 2.84736586571e+30
1.23317515705e+17 2.84705624712e+30
1.25735506209e+17 2.81795704886e+30
1.28153496713e+17 2.77264308496e+30
1.30571487217e+17 2.64175530244e+30
1.32989477721e+17 2.61368163849e+30
1.35407468225e+17 2.68284477907e+30
1.37825458729e+17 2.74610037047e+30
1.40243449233e+17 2.80458949619e+30
1.42661439737e+17 2.85773702362e+30
1.45079430241e+17 2.91341876102e+30
1.47497420745e+17 2.99450059295e+30
1.49915411249e+17 3.07204217989e+30
1.52333401754e+17 3.14608903777e+30
1.54751392258e+17 3.21714838983e+30
1.57169382762e+17 3.28523119372e+30
1.59587373266e+17 3.32500444337e+30
1.6200536377e+17 3.34605109143e+30
1.64423354274e+17 3.36437887453e+30
1.66841344778e+17 3.37964569813e+30
1.69259335282e+17 3.39210888605e+30
1.71677325786e+17 3.39156691884e+30
1.7409531629e+17 3.40220678553e+30
1.76513306794e+17 3.41241619032e+30
1.78931297298e+17 3.42058419416e+30
1.81349287802e+17 3.4270049074e+30
1.83767278306e+17 3.43144008566e+30
1.8618526881e+17 3.434533404e+30
1.88603259314e+17 3.43611708306e+30
1.91021249818e+17 3.43382258437e+30
1.93439240322e+17 3.42967889072e+30
1.95857230826e+17 3.42463591864e+30
1.9827522133e+17 3.41863184432e+30
2.00693211834e+17 3.41162278374e+30
2.03111202338e+17 3.4036893419e+30
2.05529192842e+17 3.39499614311e+30
2.07947183346e+17 3.38252622525e+30
2.1036517385e+17 3.35788029184e+30
2.12783164354e+17 3.34303482163e+30
2.15201154858e+17 3.32780561192e+30
2.17619145362e+17 3.31209737524e+30
2.20037135866e+17 3.29595768e+30
2.2245512637e+17 3.27957899933e+30
2.24873116874e+17 3.26290783362e+30
2.27291107378e+17 3.24587332946e+30
2.29709097882e+17 3.22885643519e+30
2.32127088386e+17 3.21159464309e+30
2.3454507889e+17 3.19410371313e+30
2.36963069394e+17 3.17654305068e+30
2.39381059898e+17 3.15887883498e+30
2.41799050402e+17 3.14112558082e+30
2.44217040906e+17 3.12336058458e+30
2.4663503141e+17 3.10547689405e+30
2.49053021914e+17 3.09013382437e+30
2.51471012418e+17 3.07477825962e+30
2.53889002923e+17 3.05933704695e+30
2.56306993427e+17 3.04395692738e+30
2.58724983931e+17 3.02857022396e+30
2.61142974435e+17 3.01321008318e+30
2.63560964939e+17 2.99788236129e+30
2.65978955443e+17 2.98258720781e+30
2.68396945947e+17 2.96731143954e+30
2.70814936451e+17 2.95018787685e+30
2.73232926955e+17 2.93137069595e+30
2.75650917459e+17 2.9126279969e+30
2.78068907963e+17 2.89396871324e+30
2.80486898467e+17 2.87544895416e+30
2.82904888971e+17 2.8570745077e+30
2.85322879475e+17 2.83884923698e+30
2.87740869979e+17 2.82071764579e+30
2.90158860483e+17 2.80274091244e+30
2.92576850987e+17 2.78492022686e+30
2.94994841491e+17 2.76724159415e+30
2.97412831995e+17 2.74962451346e+30
2.99830822499e+17 2.73215764417e+30
3.02248813003e+17 2.71482819753e+30
3.04666803507e+17 2.69766196011e+30
3.07084794011e+17 2.68061884759e+30
3.09502784515e+17 2.66376690363e+30
3.11920775019e+17 2.64706756234e+30
3.14338765523e+17 2.63052073481e+30
3.16756756027e+17 2.61272860131e+30
3.19174746531e+17 2.59651928178e+30
3.21592737035e+17 2.58047864337e+30
3.24010727539e+17 2.5636209453e+30
3.26428718043e+17 2.54650648346e+30
3.28846708547e+17 2.52955631754e+30
3.31264699051e+17 2.51278217092e+30
3.33682689555e+17 2.49618616098e+30
3.36100680059e+17 2.4797749291e+30
3.38518670563e+17 2.4635306207e+30
3.40936661067e+17 2.44744166459e+30
3.43354651571e+17 2.43152676205e+30
3.45772642075e+17 2.41576409686e+30
3.48190632579e+17 2.40017392026e+30
3.50608623083e+17 2.38473739862e+30
3.53026613588e+17 2.36982005841e+30
3.55444604092e+17 2.35593158372e+30
3.57862594596e+17 2.34219517181e+30
3.602805851e+17 2.32858525144e+30
3.62698575604e+17 2.31511989043e+30
3.65116566108e+17 2.30179158063e+30
3.67534556612e+17 2.2886181599e+30
3.69952547116e+17 2.27555762925e+30
3.7237053762e+17 2.26263324576e+30
